Course name,Degree type,Interest,Institution,Language,Delivery,Location,Duration,Cost - $CAD,Link (for detail page),Target
Product Management,Certificate,Product Development,York,English,Blended online + live online,Online, 6 months,"$3,297",https://continue.yorku.ca/programs/certificate-in-product-management/,Associate
Risk Management,Certificate,Finance and Accounting,York,English,Blended online + live online,Online,6 months,"$2,307",https://continue.yorku.ca/programs/certificate-in-risk-management/,Associate
Advanced Cyber Security,Certificate,Technology,York,English,Blended online + live online,Online,5 months,N/A,https://continue.yorku.ca/programs/certificate-in-advanced-cyber-security/,Executive
Advanced Data Science and Predictive Analytics,Certificate,Technology,York,English,Blended online + live online,Online,6 months,"$3,885",https://continue.yorku.ca/programs/certificate-in-advanced-data-science-and-predictive-analytics/,Associate
Cloud Computing Strategy,Certificate,Technology,York,English,Blended online + live online,Online,6 months,"$3,297",https://continue.yorku.ca/programs/certificate-in-cloud-computing-strategy/,Executive
Cyber Security Fundamentals,Certificate,Technology,York,English,Blended online + live online,Online,10 months,"$2,985",https://continue.yorku.ca/programs/certificate-in-cyber-security/,Executive
Cyber Security Intensive,Certificate,Technology,York,English,Blended online + live online,Online,6-week,"$6,270",https://continue.yorku.ca/programs/cyber-security-program-short-intensive/,Associate
DevOps,Certificate,Technology,York,English,Blended online + live online,Online,6-week,"$3,297",https://continue.yorku.ca/programs/certificate-in-devops/,Mid-career
Information Privacy,Certificate,Technology,York,English,Blended online + live online,Online,6-week,"$3,297",https://continue.yorku.ca/programs/certificate-in-information-privacy/,Associate
Information Security Audit,Certificate,Technology,York,English,Blended online + live online,Online,6-week,"$3,297",https://continue.yorku.ca/programs/certificate-in-information-security-audit/,Associate
Machine Learning,Certificate,Technology,York,English,Blended online + live online,Online, 8 months,"$6,799",https://continue.yorku.ca/programs/certificate-in-machine-learning/,Mid-career
Intensive Advanced Legal English Program,Certificate,Finance and Accounting,York,English,Online,Online,12 weeks,"$5,425",https://continue.yorku.ca/programs/intensive-advanced-legal-english-program/,Mid-career
Clinical Research,Certificate,Healthcare,York,English,Blended online + live online,Online, 9 months,"$6,594",https://continue.yorku.ca/programs/certificate-in-clinical-research/,Mid-career
Management Accounting I,Certificate,Finance and Accounting,Algonquin,English,Blended online + live online,Online,3 months 8 days,$476,https://www.algonquincollege.com/online/courses/management-accounting-i/,Mid-career
Human Resources Management,Certificate,Human Resources,Algonquin,English,Online,Online,3 months 8 days,$369,https://www.algonquincollege.com/online/courses/human-resources-management-2/,Mid-career
Management Accounting I,Certificate,Finance and Accounting,Algonquin,English,Online,Online,3 months 8 days,$476,https://www.algonquincollege.com/online/courses/management-accounting-i/,Mid-career
Dental Assisting (Levels I and II),Certificate,Healthcare,Algonquin,English,Online,Online,1 year,"$5,500",https://www.algonquincollege.com/health-studies/program/dental-assisting-levels-i-and-ii/#fees-expenses,Mid-career
Introduction to Canadian Healthcare Studies,Certificate,Healthcare,Algonquin,English,Online,Online,1 year,$216,https://www.algonquincollege.com/perth/program/introduction-to-canadian-healthcare-studies/#fees-expenses,Mid-career
Medical Terminology,Certificate,Healthcare,Algonquin,English,Online,Online,3 months 8 days,$369,https://www.algonquincollege.com/online/courses/medical-terminology/,Mid-career
